用户ID无效,"Invalid user ID"
用户不存在,"User does not exist"
修改成功！,"Modified successfully!"
修改失败！,"Modification failed!"
添加成功！,"Added successfully!"
添加失败！,"Add failed!"
用户ID不能为空,"User ID cannot be empty"
超级管理员不能被删除,"Super administrator cannot be deleted"
用户已删除，可在列表中重新激活,用户已删除，可在列表中重新激活
删除失败！,"Delete failed!"
激活成功！,"Activated successfully!"
激活失败！,"Activation failed!"
禁用成功！,"Disabled successfully!"
禁用失败！,"Disable failed!"
用户名不能为空,"Username cannot be empty"
邮箱不能为空,"Email cannot be empty"
邮箱格式不正确,"Email format is incorrect"
新增用户必须设置密码,"Password is required for new user"
该用户名对应的管理员已删除，请先激活该用户,该用户名对应的管理员已删除，请先激活该用户
用户名已存在,用户名已存在
该邮箱对应的管理员已删除，请先激活该用户,该邮箱对应的管理员已删除，请先激活该用户
邮箱已存在,邮箱已存在
修改,Edit
新增,Add
%{1}管理员成功,"%{1} administrator successfully"
保存失败,"Save failed"
删除失败,"Deletion failed"
超级管理员状态不能被修改,"Super administrator status cannot be modified"
无效的操作类型,"Invalid operation type"
用户已激活,"User has been activated"
用户已禁用,"User has been disabled"
操作失败,"Operation failed"
不能给自己分配权限！,"Cannot assign permissions to yourself!"
角色分配成功！,"Role assigned successfully!"
角色分配失败！,"Role assignment failed!"
不能修改自己的角色,"You cannot modify your own role"
已取消角色分配,"Role assignment has been removed"
角色分配成功,"Role assigned successfully"
角色分配失败,"Role assignment failed"
"WelineFramework Admin","WelineFramework Admin"
WelineFramework,WelineFramework
你的账户因尝试多次登录，已被锁定！请联系其他管理员开通。,"Your account has been locked due to multiple login attempts! Please contact another administrator to unlock it."
未登录,"Not logged in"
访问后台需要先登录。,"Accessing the backend requires logging in first."
账户异常,"Account Exception"
该账户不存在或已被删除，请使用有效账户重新登录。,"This account does not exist or has been deleted. Please log in with a valid account."
无权限,"No permission"
用户没有分配角色，请联系管理员。,"User has no role assigned, please contact the administrator."
您没有任何后台权限，请联系管理员。,"You do not have any backend permissions. Please contact the administrator."
您没有访问该页面的权限，请联系管理员。,"You do not have permission to access this page. Please contact the administrator."
当前没有可用的访问入口，请重新登录或联系管理员。,"No access entry available. Please log in again or contact the administrator."
您没有访问该页面的权限，请先登录或联系管理员。,"You do not have permission to access this page. Please log in or contact the administrator."
异常的登录操作！,"Abnormal login operation!"
账户不存在！,"Account does not exist!"
账户被禁用！,"Account is disabled!"
登录异常！,"Login exception!"
您的账户尚未分配角色，无法登录后台。请联系系统管理员为您分配角色。,"Your account has not been assigned a role and cannot log in to the backend. Please contact the system administrator to assign a role."
